price,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,distance,newDevelopment,hasLift,priceByArea,newDevelopmentFinished
1000.0,flat,rent,35.0,1,1,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,4798.0,False,False,29.0,
3400.0,chalet,rent,334.0,5,3,Barcelona,Viladecans,La Roureda,es,15502.0,False,True,10.0,
3900.0,flat,rent,221.0,5,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3744.0,False,True,18.0,
8500.0,penthouse,rent,395.0,3,3,Barcelona,Barcelona,Ciutat Vella,es,297.0,False,True,22.0,
1700.0,flat,rent,112.0,3,2,Barcelona,Barcelona,Ciutat Vella,es,639.0,False,False,15.0,
1250.0,flat,rent,55.0,2,1,Barcelona,Barcelona,Gràcia,es,2718.0,False,False,23.0,
6725.0,flat,rent,180.0,4,3,Barcelona,Esplugues de Llobregat,Finestrelles,es,6626.0,False,True,37.0,
3800.0,chalet,rent,619.0,5,3,Barcelona,Sant Just Desvern,La Plana - Bellsoleig,es,8079.0,False,True,6.0,
2800.0,flat,rent,74.0,2,1,Barcelona,Barcelona,Eixample,es,2280.0,False,True,38.0,
25000.0,chalet,rent,700.0,7,7,Barcelona,Barcelona,Les Corts,es,5761.0,False,True,36.0,
3300.0,flat,rent,190.0,4,4,Barcelona,Barcelona,Les Corts,es,3939.0,False,True,17.0,
1850.0,flat,rent,80.0,3,1,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,4460.0,False,True,23.0,
5900.0,chalet,rent,276.0,4,4,Barcelona,Gavà,Gavà Mar,es,17428.0,False,True,21.0,
1990.0,flat,rent,166.0,5,3,Barcelona,Barcelona,Sants-Montjuïc,es,3513.0,False,True,12.0,
4500.0,flat,rent,148.0,3,3,Barcelona,Barcelona,Eixample,es,1490.0,False,True,30.0,
6000.0,chalet,rent,257.0,3,4,Barcelona,Gavà,Gavà Mar,es,18089.0,False,True,23.0,
2100.0,flat,rent,72.0,4,1,Barcelona,Barcelona,Gràcia,es,2240.0,False,False,29.0,
7500.0,chalet,rent,656.0,8,4,Barcelona,Cerdanyola del Vallès,Bellaterra,es,15511.0,False,True,11.0,
1400.0,flat,rent,71.0,2,1,Barcelona,Barcelona,Eixample,es,1367.0,False,False,20.0,
2800.0,flat,rent,155.0,2,2,Barcelona,Barcelona,Eixample,es,410.0,False,True,18.0,
1900.0,flat,rent,104.0,2,2,Barcelona,Barcelona,Ciutat Vella,es,1053.0,False,True,18.0,
1500.0,flat,rent,65.0,1,1,Barcelona,Barcelona,Sants-Montjuïc,es,1387.0,False,True,23.0,
2600.0,flat,rent,241.0,4,3,Barcelona,Barcelona,Eixample,es,961.0,False,True,11.0,
3800.0,flat,rent,158.0,3,2,Barcelona,Barcelona,Sant Martí,es,4311.0,False,True,24.0,
1380.0,flat,rent,83.0,2,1,Barcelona,Barcelona,Eixample,es,1307.0,False,True,17.0,
1600.0,flat,rent,75.0,2,2,Barcelona,Barcelona,Sant Martí,es,2374.0,False,True,21.0,
1250.0,flat,rent,68.0,3,1,Barcelona,Barcelona,Sant Andreu,es,4416.0,False,True,18.0,
1500.0,flat,rent,90.0,2,2,Barcelona,Hospitalet de Llobregat,Granvia L-H,es,5078.0,False,True,17.0,
1200.0,penthouse,rent,98.0,4,1,Barcelona,Hospitalet de Llobregat,Santa Eulàlia,es,4803.0,False,True,12.0,
2773.0,flat,rent,97.0,2,2,Barcelona,Barcelona,Les Corts,es,5165.0,False,True,29.0,
1540.0,flat,rent,84.0,2,2,Barcelona,Barcelona,Ciutat Vella,es,581.0,False,False,18.0,
855.0,flat,rent,67.0,3,1,Barcelona,Barcelona,Horta Guinardó,es,4482.0,False,True,13.0,
1500.0,flat,rent,77.0,2,1,Barcelona,Barcelona,Eixample,es,1041.0,False,True,19.0,
1000.0,flat,rent,80.0,3,2,Barcelona,Sant Cugat del Vallès,Centre - Estació,es,12289.0,False,True,13.0,
670.0,flat,rent,40.0,1,1,Barcelona,Badalona,Gorg  - Progrés,es,8408.0,False,False,17.0,
1350.0,flat,rent,64.0,3,2,Barcelona,Barcelona,Eixample,es,2150.0,False,True,21.0,
1080.0,flat,rent,81.0,3,1,Barcelona,Cornellà de Llobregat,La Gavarra,es,8606.0,False,True,13.0,
3800.0,flat,rent,195.0,4,4,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3101.0,False,True,19.0,
750.0,flat,rent,77.0,2,1,Barcelona,Santa Coloma de Gramenet,El Raval,es,7136.0,False,False,10.0,
2200.0,flat,rent,137.0,4,2,Barcelona,Barcelona,Sant Martí,es,4875.0,False,True,16.0,
1075.0,flat,rent,45.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,674.0,False,True,24.0,
1400.0,flat,rent,70.0,2,1,Barcelona,Barcelona,Eixample,es,1579.0,False,True,20.0,
1050.0,flat,rent,80.0,2,2,Barcelona,Barcelona,Les Corts,es,3923.0,False,True,13.0,
1350.0,flat,rent,85.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,449.0,False,True,16.0,
1590.0,penthouse,rent,60.0,1,1,Barcelona,Barcelona,Eixample,es,1265.0,False,False,27.0,
1100.0,flat,rent,95.0,4,1,Barcelona,Barcelona,Sant Andreu,es,5138.0,False,False,12.0,
1400.0,flat,rent,67.0,1,1,Barcelona,Barcelona,Eixample,es,1345.0,False,True,21.0,
2500.0,flat,rent,146.0,3,3,Barcelona,Barcelona,Eixample,es,1589.0,False,True,17.0,
1550.0,flat,rent,64.0,1,1,Barcelona,Barcelona,Eixample,es,410.0,False,True,24.0,
1900.0,flat,rent,120.0,3,2,Barcelona,Barcelona,Gràcia,es,2390.0,False,True,16.0,
875.0,flat,rent,45.0,1,1,Barcelona,Barcelona,Horta Guinardó,es,3366.0,False,False,19.0,
1100.0,flat,rent,94.0,3,1,Barcelona,Barcelona,Gràcia,es,3347.0,False,True,12.0,
1350.0,flat,rent,100.0,3,2,Barcelona,Barcelona,Gràcia,es,2186.0,False,True,14.0,
950.0,studio,rent,44.0,0,1,Barcelona,Barcelona,Eixample,es,1456.0,False,True,22.0,
1700.0,flat,rent,117.0,4,2,Barcelona,Barcelona,Eixample,es,2638.0,False,True,15.0,
1050.0,flat,rent,42.0,2,1,Barcelona,Barcelona,Sants-Montjuïc,es,3867.0,False,False,25.0,
850.0,flat,rent,52.0,2,1,Barcelona,Barcelona,Sant Andreu,es,5826.0,False,True,16.0,
1600.0,flat,rent,95.0,3,2,Barcelona,Castelldefels,Els Canyars,es,18979.0,False,False,17.0,
2300.0,flat,rent,98.0,2,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3980.0,False,True,23.0,
1600.0,duplex,rent,100.0,2,1,Barcelona,Barcelona,Sant Martí,es,2557.0,False,False,16.0,
1800.0,flat,rent,107.0,3,2,Barcelona,Barcelona,Sant Martí,es,1524.0,False,True,17.0,
1500.0,flat,rent,99.0,3,2,Barcelona,Barcelona,Sants-Montjuïc,es,3953.0,False,True,15.0,
